,Run ID,Person ID,Time of Infection (Mins),Datetime of Sim Start,Datetime of When Infected,Datetime if Sim End
26,2,26,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
27,2,27,0.89,03/06/2021 13:28:01,03/06/2021 13:28:55,03/06/2021 13:29:01
28,2,28,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
29,2,29,0.65,03/06/2021 13:28:01,03/06/2021 13:28:40,03/06/2021 13:29:01
30,2,30,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
31,2,31,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
32,2,32,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
33,2,33,0.73,03/06/2021 13:28:01,03/06/2021 13:28:45,03/06/2021 13:29:01
34,2,34,0.68,03/06/2021 13:28:01,03/06/2021 13:28:42,03/06/2021 13:29:01
35,2,35,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
36,2,36,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
37,2,37,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
38,2,38,1.0,03/06/2021 13:28:01,03/06/2021 13:29:01,03/06/2021 13:29:01
39,2,39,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
40,2,40,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
41,2,41,0.99,03/06/2021 13:28:01,03/06/2021 13:29:01,03/06/2021 13:29:01
42,2,42,0.48,03/06/2021 13:28:01,03/06/2021 13:28:30,03/06/2021 13:29:01
43,2,43,0.75,03/06/2021 13:28:01,03/06/2021 13:28:46,03/06/2021 13:29:01
44,2,44,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
45,2,45,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
46,2,46,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
47,2,47,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
48,2,48,0.88,03/06/2021 13:28:01,03/06/2021 13:28:54,03/06/2021 13:29:01
49,2,49,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
50,2,50,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
51,2,51,0.44,03/06/2021 13:28:01,03/06/2021 13:28:28,03/06/2021 13:29:01
52,2,52,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
53,2,53,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
54,2,54,0.65,03/06/2021 13:28:01,03/06/2021 13:28:40,03/06/2021 13:29:01
55,2,55,0.9,03/06/2021 13:28:01,03/06/2021 13:28:55,03/06/2021 13:29:01
56,2,56,0.91,03/06/2021 13:28:01,03/06/2021 13:28:56,03/06/2021 13:29:01
57,2,57,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
58,2,58,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
59,2,59,0.83,03/06/2021 13:28:01,03/06/2021 13:28:51,03/06/2021 13:29:01
60,2,60,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
61,2,61,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
62,2,62,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
63,2,63,0.98,03/06/2021 13:28:01,03/06/2021 13:29:00,03/06/2021 13:29:01
64,2,64,1.0,03/06/2021 13:28:01,03/06/2021 13:29:01,03/06/2021 13:29:01
65,2,65,0.5,03/06/2021 13:28:01,03/06/2021 13:28:31,03/06/2021 13:29:01
66,2,66,0.52,03/06/2021 13:28:01,03/06/2021 13:28:33,03/06/2021 13:29:01
67,2,67,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
68,2,68,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
69,2,69,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
70,2,70,0.67,03/06/2021 13:28:01,03/06/2021 13:28:41,03/06/2021 13:29:01
71,2,71,0.37,03/06/2021 13:28:01,03/06/2021 13:28:23,03/06/2021 13:29:01
72,2,72,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
73,2,73,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
74,2,74,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
75,2,75,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
76,2,76,0.74,03/06/2021 13:28:01,03/06/2021 13:28:45,03/06/2021 13:29:01
77,2,77,0.84,03/06/2021 13:28:01,03/06/2021 13:28:52,03/06/2021 13:29:01
78,2,78,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
79,2,79,1.0,03/06/2021 13:28:01,03/06/2021 13:29:01,03/06/2021 13:29:01
80,2,80,0.53,03/06/2021 13:28:01,03/06/2021 13:28:33,03/06/2021 13:29:01
81,2,81,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
82,2,82,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
83,2,83,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
84,2,84,0.89,03/06/2021 13:28:01,03/06/2021 13:28:55,03/06/2021 13:29:01
85,2,85,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
86,2,86,0.53,03/06/2021 13:28:01,03/06/2021 13:28:33,03/06/2021 13:29:01
87,2,87,1.0,03/06/2021 13:28:01,03/06/2021 13:29:01,03/06/2021 13:29:01
88,2,88,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
89,2,89,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
90,2,90,0.72,03/06/2021 13:28:01,03/06/2021 13:28:44,03/06/2021 13:29:01
91,2,91,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
92,2,92,0.72,03/06/2021 13:28:01,03/06/2021 13:28:44,03/06/2021 13:29:01
93,2,93,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
94,2,94,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
95,2,95,0.65,03/06/2021 13:28:01,03/06/2021 13:28:40,03/06/2021 13:29:01
96,2,96,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
97,2,97,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
98,2,98,N/A,03/06/2021 13:28:01,N/A,03/06/2021 13:29:01
